0.7_p,0.7_l1,0.7_l2,Latency,0.675_p,0.675_l1,0.675_l2,Latency,0.65_p,0.65_l1,0.65_l2,Latency,0.6_p,0.6_l1,0.6_l2,Latency,0.575_p,0.575_l1,0.575_l2,Latency,0.55_p,0.55_l1,0.55_l2,Latency,0.5375_p,0.5375_l1,0.5375_l2,Latency,0.525_p,0.525_l1,0.525_l2,Latency,0.5125_p,0.5125_l1,0.5125_l2,Latency,0.5_p,0.5_l1,0.5_l2,Latency,0.4875_p,0.4875_l1,0.4875_l2,Latency,0.475_p,0.475_l1,0.475_l2,Latency,0.4625_p,0.4625_l1,0.4625_l2,Latency,0.45_p,0.45_l1,0.45_l2,Latency,0.4375_p,0.4375_l1,0.4375_l2,Latency,0.425_p,0.425_l1,0.425_l2,Latency,0.4125_p,0.4125_l1,0.4125_l2,Latency,0.4_p,0.4_l1,0.4_l2,Latency
-4.088529E-07,7.843754E-07,3.753392E-07,3.753392E-07,-2.051582E-07,3.979353E-07,1.926126E-07,1.926126E-07,-1.036549E-07,2.053862E-07,1.015821E-07,1.015821E-07,-2.898970E-08,6.427290E-08,3.509827E-08,3.509827E-08,-1.132700E-08,3.698960E-08,2.544604E-08,2.544604E-08,-9.950700E-09,2.603150E-08,1.612666E-08,1.612666E-08,-3.032463E-09,1.453390E-08,1.150087E-08,1.150087E-08,-1.207879E-09,1.031830E-08,9.107426E-09,9.107426E-09,-3.890080E-10,8.528900E-09,8.136941E-09,8.136941E-09,2.960760E-10,6.730000E-09,7.024796E-09,6.730000E-09,2.522490E-10,5.877000E-09,6.126199E-09,5.877000E-09,-1.099000E-10,5.206400E-09,5.094398E-09,5.094398E-09,-3.013540E-10,4.836600E-09,4.533039E-09,4.533039E-09,-3.590210E-10,4.402900E-09,4.042511E-09,4.042511E-09,-4.397550E-10,4.158000E-09,3.715845E-09,3.715845E-09,-5.573960E-10,3.772300E-09,3.213687E-09,3.213687E-09,-4.143810E-10,3.303400E-09,2.887021E-09,2.887021E-09,-2.206200E-10,2.828000E-09,2.604756E-09,2.604756E-09
-1.770584E-07,5.484412E-07,3.712619E-07,3.712619E-07,-8.495990E-08,2.776201E-07,1.925294E-07,1.925294E-07,-3.942680E-08,1.450049E-07,1.054097E-07,1.054097E-07,-7.886200E-09,4.369860E-08,3.568073E-08,3.568073E-08,-4.560100E-09,3.016870E-08,2.552925E-08,2.552925E-08,-3.183800E-09,1.909880E-08,1.579382E-08,1.579382E-08,-8.388110E-10,1.163070E-08,1.079045E-08,1.079045E-08,-8.406000E-12,9.215600E-09,9.204686E-09,9.204686E-09,4.183300E-10,7.685500E-09,8.100998E-09,7.685500E-09,8.104660E-10,6.397100E-09,7.206629E-09,6.397100E-09,6.420780E-10,5.368000E-09,6.006738E-09,5.368000E-09,1.807420E-10,4.884700E-09,5.062683E-09,4.884700E-09,-9.144600E-11,4.567800E-09,4.473837E-09,4.473837E-09,-1.606470E-10,4.175600E-09,4.011853E-09,4.011853E-09,-2.436870E-10,3.813900E-09,3.566783E-09,3.566783E-09,-2.529140E-10,3.460200E-09,3.207344E-09,3.207344E-09,-1.006730E-10,2.978500E-09,2.877506E-09,2.877506E-09,-4.531300E-11,2.544800E-09,2.496924E-09,2.496924E-09
-1.490733E-07,5.205987E-07,3.715116E-07,3.715116E-07,-6.821470E-08,2.650965E-07,1.967730E-07,1.967730E-07,-2.669590E-08,1.337114E-07,1.069907E-07,1.069907E-07,-4.674800E-09,4.034410E-08,3.559752E-08,3.559752E-08,-2.266300E-09,2.759690E-08,2.519642E-08,2.519642E-08,-2.018000E-10,1.574430E-08,1.546098E-08,1.546098E-08,-6.681160E-10,1.203560E-08,1.136449E-08,1.136449E-08,1.069280E-10,8.954700E-09,9.057739E-09,8.954700E-09,5.913310E-10,7.399000E-09,7.987880E-09,7.399000E-09,9.327200E-10,5.993800E-09,6.926478E-09,5.993800E-09,5.590370E-10,5.353600E-09,5.910535E-09,5.353600E-09,1.622880E-10,4.854200E-09,5.014053E-09,4.854200E-09,3.080800E-11,4.484500E-09,4.512953E-09,4.484500E-09,-9.375300E-11,4.134000E-09,4.038282E-09,4.038282E-09,-1.168200E-10,3.666700E-09,3.547754E-09,3.547754E-09,-1.514200E-10,3.362600E-09,3.209459E-09,3.209459E-09,-7.760600E-11,2.837600E-09,2.756989E-09,2.756989E-09,7.463500E-11,2.535200E-09,2.605813E-09,2.535200E-09
-1.342779E-07,5.037143E-07,3.693481E-07,3.693481E-07,-6.901760E-08,2.619657E-07,1.927790E-07,1.927790E-07,-3.093950E-08,1.366186E-07,1.055761E-07,1.055761E-07,-6.165800E-09,4.190950E-08,3.568073E-08,3.568073E-08,-3.069100E-09,2.837960E-08,2.519642E-08,2.519642E-08,-1.463400E-09,1.730970E-08,1.587703E-08,1.587703E-08,-1.137111E-08,2.244510E-08,1.107483E-08,1.107483E-08,-5.479851E-09,1.480120E-08,9.319918E-09,9.319918E-09,-3.784441E-09,1.222290E-08,8.436121E-09,8.436121E-09,-2.508847E-09,1.025110E-08,7.738387E-09,7.738387E-09,-1.567721E-09,8.047200E-09,6.475066E-09,6.475066E-09,-1.309373E-09,6.810000E-09,5.498238E-09,5.498238E-09,-7.419300E-10,5.585700E-09,4.841734E-09,4.841734E-09,-8.341970E-10,5.055900E-09,4.219059E-09,4.219059E-09,-8.341970E-10,4.673400E-09,3.837419E-09,3.837419E-09,-7.903700E-10,4.194900E-09,3.400807E-09,3.400807E-09,-6.957960E-10,3.850700E-09,3.152371E-09,3.152371E-09,-5.527820E-10,3.305000E-09,2.749589E-09,2.749589E-09
-5.337536E-07,8.539257E-07,3.200885E-07,3.200885E-07,-2.728270E-07,4.407613E-07,1.678163E-07,1.678163E-07,-1.377187E-07,2.251778E-07,8.735341E-08,8.735341E-08,-3.713290E-08,7.019920E-08,3.301805E-08,3.301805E-08,-1.683230E-08,4.056770E-08,2.369866E-08,2.369866E-08,-1.350620E-08,2.804420E-08,1.446248E-08,1.446248E-08,5.350012E-09,7.312600E-09,1.266058E-08,7.312600E-09,3.703042E-09,6.323500E-09,1.002400E-08,6.323500E-09,3.119452E-09,5.691300E-09,8.808246E-09,5.691300E-09,2.741157E-09,5.094300E-09,7.832476E-09,5.094300E-09,2.171407E-09,4.713400E-09,6.881020E-09,4.713400E-09,1.292562E-09,4.375700E-09,5.667386E-09,4.375700E-09,9.557860E-10,3.922800E-09,4.876620E-09,3.922800E-09,7.205050E-10,3.625100E-09,4.343805E-09,3.625100E-09,6.236240E-10,3.205800E-09,3.827905E-09,3.205800E-09,4.944500E-10,2.909700E-09,3.400807E-09,2.909700E-09,4.460100E-10,2.540000E-09,2.983224E-09,2.540000E-09,3.860360E-10,2.319100E-09,2.704130E-09,2.319100E-09
1.494726E-07,1.817928E-07,3.311553E-07,1.817928E-07,7.939520E-08,9.804170E-08,1.775518E-07,9.804170E-08,3.684410E-08,5.812300E-08,9.492541E-08,5.812300E-08,1.241440E-08,2.368330E-08,3.609677E-08,2.368330E-08,1.229980E-08,1.373160E-08,2.611171E-08,1.373160E-08,7.368000E-09,9.258900E-09,1.662591E-08,9.258900E-09,-4.372644E-09,1.513090E-08,1.075873E-08,1.075873E-08,-1.516974E-09,1.060320E-08,9.084168E-09,9.084168E-09,-3.659410E-10,8.533700E-09,8.164428E-09,8.164428E-09,3.514360E-10,6.821200E-09,7.171743E-09,6.821200E-09,4.736900E-10,5.707300E-09,6.178000E-09,5.707300E-09,8.155500E-11,4.996700E-09,5.075369E-09,4.996700E-09,-4.761900E-11,4.625400E-09,4.576383E-09,4.576383E-09,-2.160070E-10,4.258900E-09,4.039339E-09,4.039339E-09,-2.298470E-10,3.858800E-09,3.625985E-09,3.625985E-09,-2.321540E-10,3.429800E-09,3.195716E-09,3.195716E-09,-1.532600E-11,2.866500E-09,2.848963E-09,2.848963E-09,4.234100E-11,2.522400E-09,2.563526E-09,2.522400E-09
-3.930253E-07,7.163906E-07,3.233336E-07,3.233336E-07,-1.884130E-07,3.565630E-07,1.679828E-07,1.679828E-07,-9.321780E-08,1.815691E-07,8.826871E-08,8.826871E-08,-2.451670E-08,5.789940E-08,3.326767E-08,3.326767E-08,-1.063880E-08,3.397050E-08,2.328261E-08,2.328261E-08,-7.312800E-09,2.256510E-08,1.512815E-08,1.512815E-08,-9.308939E-09,2.029090E-08,1.098074E-08,1.098074E-08,-5.362210E-09,1.470680E-08,9.344233E-09,9.344233E-09,-2.935583E-09,1.127380E-08,8.336747E-09,8.336747E-09,-1.572335E-09,8.881100E-09,7.306004E-09,7.306004E-09,-7.004100E-10,6.954100E-09,6.253059E-09,6.253059E-09,-3.290340E-10,5.937800E-09,5.606070E-09,5.606070E-09,-5.181820E-10,5.238400E-09,4.718044E-09,4.718044E-09,-4.097680E-10,4.732600E-09,4.319490E-09,4.319490E-09,-6.611960E-10,4.377300E-09,3.714787E-09,3.714787E-09,-6.242890E-10,4.095600E-09,3.468466E-09,3.468466E-09,-6.219830E-10,3.565900E-09,2.941994E-09,2.941994E-09,-4.974220E-10,3.218600E-09,2.717873E-09,2.717873E-09
-4.931523E-07,8.135597E-07,3.203381E-07,3.203381E-07,-2.358959E-07,4.020726E-07,1.660690E-07,1.660690E-07,-1.175327E-07,2.049389E-07,8.727020E-08,8.727020E-08,-3.254520E-08,6.483200E-08,3.218596E-08,3.218596E-08,-1.430900E-08,3.777230E-08,2.344903E-08,2.344903E-08,-1.155640E-08,2.647870E-08,1.487852E-08,1.487852E-08,-4.063549E-09,1.462360E-08,1.055892E-08,1.055892E-08,-1.406254E-09,1.068320E-08,9.274459E-09,9.274459E-09,-2.367670E-10,8.569000E-09,8.329347E-09,8.329347E-09,3.652760E-10,6.890100E-09,7.252088E-09,6.890100E-09,4.736900E-10,5.939400E-09,6.410578E-09,5.939400E-09,2.850100E-11,5.244800E-09,5.269889E-09,5.244800E-09,-1.537270E-10,4.777400E-09,4.620785E-09,4.620785E-09,-2.506070E-10,4.337300E-09,4.084798E-09,4.084798E-09,-3.613280E-10,4.156400E-09,3.791961E-09,3.791961E-09,-4.259150E-10,3.701900E-09,3.273946E-09,3.273946E-09,-4.166880E-10,3.252200E-09,2.833105E-09,2.833105E-09,-1.814070E-10,2.855300E-09,2.671358E-09,2.671358E-09
-2.292437E-07,5.551502E-07,3.258299E-07,3.258299E-07,-1.098483E-07,2.784028E-07,1.683988E-07,1.683988E-07,-5.972750E-08,1.473531E-07,8.760304E-08,8.760304E-08,-1.373560E-08,4.649400E-08,3.268521E-08,3.268521E-08,-7.542100E-09,3.128690E-08,2.369866E-08,2.369866E-08,-4.789500E-09,1.954610E-08,1.462890E-08,1.462890E-08,-1.057945E-09,1.176190E-08,1.070059E-08,1.070059E-08,1.161550E-10,9.001100E-09,9.113769E-09,9.001100E-09,7.850920E-10,7.373400E-09,8.157028E-09,7.373400E-09,1.098801E-09,6.214700E-09,7.312347E-09,6.214700E-09,8.589060E-10,5.483200E-09,6.338690E-09,5.483200E-09,1.830490E-10,4.931100E-09,5.111313E-09,4.931100E-09,6.079500E-11,4.631800E-09,4.689501E-09,4.631800E-09,-1.421930E-10,4.262100E-09,4.117570E-09,4.117570E-09,-2.367670E-10,3.932400E-09,3.692587E-09,3.692587E-09,-1.837140E-10,3.447400E-09,3.261260E-09,3.261260E-09,-1.260470E-10,3.077700E-09,2.950451E-09,2.950451E-09,-6.099000E-12,2.594400E-09,2.584670E-09,2.584670E-09
-2.247707E-07,5.455340E-07,3.206710E-07,3.206710E-07,-1.013610E-07,2.687865E-07,1.673171E-07,1.673171E-07,-4.584960E-08,1.355005E-07,8.951684E-08,8.951684E-08,-9.033100E-09,4.224500E-08,3.310126E-08,3.310126E-08,-5.592400E-09,2.938600E-08,2.361545E-08,2.361545E-08,-2.036900E-09,1.641520E-08,1.421285E-08,1.421285E-08,-1.669215E-09,1.223730E-08,1.056527E-08,1.056527E-08,9.308800E-11,8.713000E-09,8.804017E-09,8.713000E-09,5.659570E-10,7.487000E-09,8.050253E-09,7.487000E-09,1.324855E-09,6.009800E-09,7.333490E-09,6.009800E-09,8.865860E-10,5.408000E-09,6.292175E-09,5.408000E-09,3.352890E-10,4.924700E-09,5.258260E-09,4.924700E-09,1.466100E-11,4.582200E-09,4.594355E-09,4.582200E-09,-1.099000E-10,4.154800E-09,4.043568E-09,4.043568E-09,-5.223300E-11,3.682700E-09,3.627042E-09,3.627042E-09,-1.560330E-10,3.308200E-09,3.150257E-09,3.150257E-09,5.848800E-11,2.732000E-09,2.788704E-09,2.732000E-09,1.046210E-10,2.445500E-09,2.547669E-09,2.445500E-09
