0.25_p,0.25_l1,0.25_l2,Latency,0.275_p,0.275_l1,0.275_l2,Latency,0.3_p,0.3_l1,0.3_l2,Latency,0.325_p,0.325_l1,0.325_l2,Latency,0.3375_p,0.3375_l1,0.3375_l2,Latency,0.35_p,0.35_l1,0.35_l2,Latency,0.3625_p,0.3625_l1,0.3625_l2,Latency,0.375_p,0.375_l1,0.375_l2,Latency,0.3875_p,0.3875_l1,0.3875_l2,Latency,0.4_p,0.4_l1,0.4_l2,Latency,0.4125_p,0.4125_l1,0.4125_l2,Latency,0.425_p,0.425_l1,0.425_l2,Latency,0.4375_p,0.4375_l1,0.4375_l2,Latency,0.45_p,0.45_l1,0.45_l2,Latency,0.4625_p,0.4625_l1,0.4625_l2,Latency,0.475_p,0.475_l1,0.475_l2,Latency,0.4875_p,0.4875_l1,0.4875_l2,Latency,0.5_p,0.5_l1,0.5_l2,Latency
-2.18738E-07,2.75370E-07,5.65900E-08,5.65900E-08,-1.10021E-07,1.43408E-07,3.32800E-08,3.32800E-08,-5.71370E-08,7.74270E-08,2.02800E-08,2.02800E-08,-3.05107E-08,4.22900E-08,1.17200E-08,1.17200E-08,-2.33243E-08,3.39020E-08,1.05700E-08,1.05700E-08,-1.90862E-08,2.70990E-08,7.90000E-09,7.90000E-09,-1.36504E-08,2.09570E-08,7.24000E-09,7.24000E-09,-8.76733E-09,1.56070E-08,6.84000E-09,6.84000E-09,-4.80562E-09,1.14460E-08,6.54000E-09,6.54000E-09,-2.07731E-09,7.13689E-09,5.06012E-09,5.06012E-09,-2.43135E-09,6.54522E-09,4.11426E-09,4.11426E-09,-8.17193E-10,4.13956E-09,3.32233E-09,3.32233E-09,-1.17330E-09,4.75105E-09,3.57818E-09,3.57818E-09,-6.54265E-10,4.00155E-09,3.34791E-09,3.34791E-09,-5.84831E-10,3.72024E-09,3.13551E-09,3.13551E-09,-5.80019E-10,3.67071E-09,3.09084E-09,3.09084E-09,-5.51146E-10,3.64166E-09,3.09084E-09,3.09084E-09,-4.82400E-10,3.41978E-09,2.93733E-09,2.93733E-09
-1.60878E-07,2.17777E-07,5.68900E-08,5.68900E-08,-7.76826E-08,1.11573E-07,3.38800E-08,3.38800E-08,-3.67757E-08,5.76790E-08,2.08400E-08,2.08400E-08,-2.12974E-08,3.33740E-08,1.20300E-08,1.20300E-08,-1.59537E-08,2.63730E-08,1.04100E-08,1.04100E-08,-1.29133E-08,2.08250E-08,7.90000E-09,7.90000E-09,-8.03026E-09,1.54090E-08,7.29000E-09,7.29000E-09,-4.43709E-09,1.13140E-08,6.79000E-09,6.79000E-09,-2.77870E-09,9.26700E-09,6.39000E-09,6.39000E-09,-1.77620E-09,6.09024E-09,4.31489E-09,4.31489E-09,-1.23379E-09,5.05217E-09,3.81901E-09,3.81901E-09,-7.26448E-10,4.29540E-09,3.56884E-09,3.56884E-09,-5.68332E-10,3.93617E-09,3.36781E-09,3.36781E-09,-4.48027E-10,3.70769E-09,3.25979E-09,3.25979E-09,-4.02654E-10,3.43563E-09,3.03358E-09,3.03358E-09,-2.67224E-10,3.34450E-09,3.07744E-09,3.07744E-09,-2.61725E-10,3.27054E-09,3.00921E-09,3.00921E-09,-3.33908E-10,3.23620E-09,2.90240E-09,2.90240E-09
-8.95677E-08,1.46050E-07,5.63900E-08,5.63900E-08,-4.11059E-08,7.49170E-08,3.37300E-08,3.37300E-08,-1.90862E-08,4.05070E-08,2.14400E-08,2.14400E-08,-1.36504E-08,2.56460E-08,1.18700E-08,1.18700E-08,-9.32012E-09,1.97020E-08,1.03600E-08,1.03600E-08,-7.29320E-09,1.52110E-08,7.95000E-09,7.95000E-09,-3.60789E-09,1.09840E-08,7.24000E-09,7.24000E-09,-2.22590E-09,9.06800E-09,6.69000E-09,6.69000E-09,-1.67311E-09,7.74800E-09,6.03000E-09,6.03000E-09,-1.09768E-09,5.30706E-09,4.20970E-09,4.20970E-09,-7.79383E-10,4.60115E-09,3.82186E-09,3.82186E-09,-5.88956E-10,4.19569E-09,3.60702E-09,3.60702E-09,-6.32954E-10,4.03853E-09,3.40558E-09,3.40558E-09,-5.14023E-10,3.77043E-09,3.25694E-09,3.25694E-09,-5.19523E-10,3.64760E-09,3.12780E-09,3.12780E-09,-5.66957E-10,3.60534E-09,3.03804E-09,3.03804E-09,-5.44959E-10,3.57959E-09,3.03479E-09,3.03479E-09,-5.38771E-10,3.49440E-09,2.95601E-09,2.95601E-09
-6.64827E-09,6.33590E-08,5.66900E-08,5.66900E-08,1.69550E-10,3.41000E-08,3.41800E-08,3.41000E-08,1.82794E-09,2.02300E-08,2.20500E-08,2.02300E-08,1.45941E-09,1.08520E-08,1.23300E-08,1.08520E-08,1.55154E-09,9.06800E-09,1.05700E-08,9.06800E-09,7.22340E-10,6.88900E-09,7.59000E-09,6.88900E-09,1.09088E-09,5.96400E-09,6.99000E-09,5.96400E-09,1.18301E-09,5.23800E-09,6.39000E-09,5.23800E-09,1.18301E-09,4.57700E-09,5.68000E-09,4.57700E-09,3.70740E-10,3.67137E-09,4.04197E-09,3.67137E-09,2.44934E-10,3.54657E-09,3.79180E-09,3.54657E-09,1.53502E-10,3.37091E-09,3.52498E-09,3.37091E-09,6.68819E-11,3.29431E-09,3.36172E-09,3.29431E-09,8.06311E-11,3.20120E-09,3.28212E-09,3.20120E-09,-3.92660E-12,3.14640E-09,3.14282E-09,3.14282E-09,-1.63009E-11,3.04602E-09,3.02992E-09,3.02992E-09,-3.96746E-11,3.04140E-09,3.00190E-09,3.00190E-09,2.28844E-11,2.99518E-09,3.01774E-09,2.99518E-09
-1.02415E-08,1.17650E-07,1.07350E-07,1.07350E-07,-1.07021E-08,6.60010E-08,5.51800E-08,5.51800E-08,-3.42363E-09,3.58840E-08,3.24700E-08,3.24700E-08,-2.59443E-09,2.21460E-08,1.94300E-08,1.94300E-08,-1.30458E-09,1.61350E-08,1.47900E-08,1.47900E-08,-1.98980E-10,1.12480E-08,1.09700E-08,1.09700E-08,-1.98980E-10,8.93600E-09,8.65000E-09,8.65000E-09,7.74200E-11,7.41700E-09,7.44000E-09,7.41700E-09,8.14480E-10,5.96400E-09,6.69000E-09,5.96400E-09,1.37443E-09,4.40370E-09,5.77895E-09,4.40370E-09,1.26925E-09,4.03126E-09,5.30013E-09,4.03126E-09,5.93477E-10,3.74137E-09,4.33479E-09,3.74137E-09,3.41179E-10,3.57826E-09,3.91973E-09,3.57826E-09,3.00619E-10,3.36893E-09,3.66997E-09,3.36893E-09,2.11936E-10,3.31809E-09,3.53067E-09,3.31809E-09,8.13186E-11,3.29233E-09,3.37431E-09,3.29233E-09,2.00249E-10,3.18932E-09,3.39015E-09,3.18932E-09,1.15004E-10,3.23686E-09,3.35238E-09,3.23686E-09
-2.90786E-07,3.96830E-07,1.05990E-07,1.05990E-07,-1.38859E-07,1.95783E-07,5.67900E-08,5.67900E-08,-6.55211E-08,9.82980E-08,3.27700E-08,3.27700E-08,-3.09713E-08,5.08760E-08,1.98300E-08,1.98300E-08,-2.22187E-08,3.89220E-08,1.66600E-08,1.66600E-08,-1.90862E-08,3.05340E-08,1.13200E-08,1.13200E-08,-1.39268E-08,2.40610E-08,1.00600E-08,1.00600E-08,-1.09785E-08,1.88430E-08,7.75000E-09,7.75000E-09,-5.45055E-09,1.27670E-08,7.24000E-09,7.24000E-09,-1.68202E-09,7.83356E-09,6.15136E-09,6.15136E-09,-8.80440E-10,6.52937E-09,5.64940E-09,5.64940E-09,-6.99637E-10,5.68808E-09,4.98905E-09,4.98905E-09,-7.13387E-10,4.89698E-09,4.18411E-09,4.18411E-09,-3.79280E-10,3.93816E-09,3.55910E-09,3.55910E-09,-3.27721E-10,3.76052E-09,3.43279E-09,3.43279E-09,-3.20846E-10,3.68326E-09,3.36294E-09,3.36294E-09,-2.78911E-10,3.56506E-09,3.28618E-09,3.28618E-09,-1.71667E-10,3.47393E-09,3.30243E-09,3.30243E-09
-6.08223E-08,1.65930E-07,1.05030E-07,1.05030E-07,-2.76545E-08,8.37010E-08,5.60400E-08,5.60400E-08,-1.20841E-08,4.51960E-08,3.30700E-08,3.30700E-08,-7.29320E-09,2.75620E-08,2.02300E-08,2.02300E-08,-5.45055E-09,2.05610E-08,1.50000E-08,1.50000E-08,-3.88429E-09,1.52770E-08,1.12200E-08,1.12200E-08,-1.94950E-09,1.09840E-08,9.00000E-09,9.00000E-09,-1.21244E-09,9.00200E-09,7.70000E-09,7.70000E-09,1.69550E-10,6.69100E-09,6.79000E-09,6.69100E-09,1.18057E-09,4.53115E-09,5.71194E-09,4.53115E-09,1.21494E-09,4.18050E-09,5.39517E-09,4.18050E-09,6.29225E-10,3.73675E-09,4.36565E-09,3.73675E-09,3.05431E-10,3.55515E-09,3.86084E-09,3.55515E-09,2.50434E-10,3.50959E-09,3.76053E-09,3.50959E-09,1.97500E-10,3.28639E-09,3.48437E-09,3.28639E-09,1.75501E-10,3.29431E-09,3.46934E-09,3.29431E-09,5.17578E-11,3.26592E-09,3.31786E-09,3.26592E-09,6.06947E-11,3.23422E-09,3.29512E-09,3.23422E-09
-1.72303E-07,2.77681E-07,1.05230E-07,1.05230E-07,-8.68959E-08,1.42615E-07,5.56300E-08,5.56300E-08,-4.56204E-08,7.77570E-08,3.21200E-08,3.21200E-08,-2.22187E-08,4.16960E-08,1.94800E-08,1.94800E-08,-1.88098E-08,3.42320E-08,1.54000E-08,1.54000E-08,-1.53088E-08,2.65710E-08,1.12200E-08,1.12200E-08,-1.10706E-08,2.10890E-08,1.00100E-08,1.00100E-08,-8.58306E-09,1.63340E-08,7.75000E-09,7.75000E-09,-4.43709E-09,1.16440E-08,7.14000E-09,7.14000E-09,-1.22486E-09,7.38650E-09,6.16233E-09,6.16233E-09,-6.60452E-10,5.93439E-09,5.27414E-09,5.27414E-09,-6.79014E-10,5.40809E-09,4.72913E-09,4.72913E-09,-4.78962E-10,4.31059E-09,3.83160E-09,3.83160E-09,-2.92660E-10,3.88995E-09,3.59768E-09,3.59768E-09,-3.19471E-10,3.67203E-09,3.35279E-09,3.35279E-09,-2.07415E-10,3.53798E-09,3.33126E-09,3.33126E-09,-2.07415E-10,3.45808E-09,3.25085E-09,3.25085E-09,-2.30789E-10,3.41384E-09,3.18343E-09,3.18343E-09
-1.09561E-07,2.17050E-07,1.07350E-07,1.07350E-07,-5.43730E-08,1.09262E-07,5.48300E-08,5.48300E-08,-2.71939E-08,5.97920E-08,3.25200E-08,3.25200E-08,-1.36504E-08,3.38360E-08,2.01300E-08,2.01300E-08,-1.13470E-08,2.65710E-08,1.51500E-08,1.51500E-08,-9.22799E-09,2.06930E-08,1.14200E-08,1.14200E-08,-5.26628E-09,1.50790E-08,9.81000E-09,9.81000E-09,-3.33150E-09,1.10500E-08,7.64000E-09,7.64000E-09,-1.94950E-09,8.93600E-09,6.94000E-09,6.94000E-09,-4.51743E-11,5.99845E-09,5.95358E-09,5.95358E-09,5.92102E-10,4.56153E-09,5.15393E-09,4.56153E-09,-4.31119E-11,4.03853E-09,3.99568E-09,3.99568E-09,-4.65492E-11,3.42506E-09,3.37878E-09,3.37878E-09,5.03828E-11,3.65288E-09,3.70367E-09,3.65288E-09,7.23816E-11,3.34846E-09,3.42142E-09,3.34846E-09,3.63550E-12,3.44421E-09,3.44782E-09,3.44421E-09,-3.14251E-11,3.35507E-09,3.32395E-09,3.32395E-09,-5.27363E-11,3.31941E-09,3.26669E-09,3.26669E-09
-3.82498E-08,1.46050E-07,1.07750E-07,1.07750E-07,-2.06525E-08,7.62380E-08,5.55300E-08,5.55300E-08,-9.68865E-09,4.25540E-08,3.28700E-08,3.28700E-08,-6.09548E-09,2.61750E-08,2.00300E-08,2.00300E-08,-4.80562E-09,1.99000E-08,1.51000E-08,1.51000E-08,-3.33150E-09,1.45500E-08,1.12200E-08,1.12200E-08,-1.58097E-09,1.08520E-08,9.16000E-09,9.16000E-09,-1.02818E-09,8.60600E-09,7.49000E-09,7.49000E-09,-1.06850E-10,6.88900E-09,6.69000E-09,6.69000E-09,9.22084E-10,4.69095E-09,5.61325E-09,4.69095E-09,8.58837E-10,4.29276E-09,5.15231E-09,4.29276E-09,4.55706E-11,3.95334E-09,3.99892E-09,3.95334E-09,5.24452E-11,3.86816E-09,3.92095E-09,3.86816E-09,-8.09223E-11,3.68854E-09,3.60824E-09,3.60824E-09,-1.55168E-10,3.54987E-09,3.39462E-09,3.39462E-09,-1.79229E-10,3.44752E-09,3.26872E-09,3.26872E-09,-1.82667E-10,3.51949E-09,3.33695E-09,3.33695E-09,-2.77536E-10,3.40327E-09,3.12617E-09,3.12617E-09
